Time,Node,State,Running jobs,Expected jobs
1.63173e+06,Syn_3,allocated,252,none
1.63173e+06,Syn_30,allocated,252,none
1.63173e+06,Syn_31,allocated,252,none
1.63173e+06,Syn_5,allocated,252,none
1.63173e+06,Syn_6,allocated,252,none
1.63173e+06,Syn_8,allocated,252,none
1.63173e+06,Syn_9,allocated,252,none
1.63489e+06,Syn_0,free,none,none
1.63489e+06,Syn_1,free,none,none
1.63489e+06,Syn_13,free,none,none
1.63489e+06,Syn_15,free,none,none
1.63489e+06,Syn_16,free,none,none
1.63489e+06,Syn_17,free,none,none
1.63489e+06,Syn_2,free,none,none
1.63489e+06,Syn_20,free,none,none
1.63489e+06,Syn_0,allocated,253,none
1.63489e+06,Syn_1,allocated,253,none
1.63489e+06,Syn_13,allocated,253,none
1.63489e+06,Syn_15,allocated,253,none
1.63489e+06,Syn_16,allocated,253,none
1.63489e+06,Syn_17,allocated,253,none
1.63489e+06,Syn_2,allocated,253,none
1.63489e+06,Syn_20,allocated,253,none
1.63788e+06,Syn_18,free,none,none
1.63788e+06,Syn_19,free,none,none
1.63788e+06,Syn_21,free,none,none
1.63788e+06,Syn_22,free,none,none
1.63788e+06,Syn_25,free,none,none
1.63788e+06,Syn_26,free,none,none
1.63788e+06,Syn_27,free,none,none
1.63788e+06,Syn_28,free,none,none
1.63788e+06,Syn_18,allocated,254,none
1.63788e+06,Syn_19,allocated,254,none
1.63788e+06,Syn_21,allocated,254,none
1.63788e+06,Syn_22,allocated,254,none
1.63788e+06,Syn_25,allocated,254,none
1.63788e+06,Syn_26,allocated,254,none
1.63788e+06,Syn_27,allocated,254,none
1.63788e+06,Syn_28,allocated,254,none
1.64031e+06,Syn_23,free,none,none
1.64031e+06,Syn_24,free,none,none
1.64031e+06,Syn_4,free,none,none
1.64031e+06,Syn_7,free,none,none
1.64031e+06,Syn_23,allocated,255,none
1.64031e+06,Syn_24,allocated,255,none
1.64031e+06,Syn_4,allocated,255,none
1.64031e+06,Syn_7,allocated,255,none
1.64757e+06,Syn_10,free,none,none
1.64757e+06,Syn_11,free,none,none
1.64757e+06,Syn_12,free,none,none
1.64757e+06,Syn_14,free,none,none
1.66862e+06,Syn_29,free,none,none
1.66862e+06,Syn_3,free,none,none
1.66862e+06,Syn_30,free,none,none
1.66862e+06,Syn_31,free,none,none
1.66862e+06,Syn_5,free,none,none
1.66862e+06,Syn_6,free,none,none
1.66862e+06,Syn_8,free,none,none
1.66862e+06,Syn_9,free,none,none
1.66862e+06,Syn_10,allocated,256,none
1.66862e+06,Syn_11,allocated,256,none
1.66862e+06,Syn_12,allocated,256,none
1.66862e+06,Syn_14,allocated,256,none
1.66862e+06,Syn_29,allocated,256,none
1.66862e+06,Syn_3,allocated,256,none
1.66862e+06,Syn_30,allocated,256,none
1.66862e+06,Syn_31,allocated,256,none
1.67048e+06,Syn_23,free,none,none
1.67048e+06,Syn_24,free,none,none
1.67048e+06,Syn_4,free,none,none
1.67048e+06,Syn_7,free,none,none
1.67048e+06,Syn_23,allocated,257,none
1.67048e+06,Syn_24,allocated,257,none
1.67048e+06,Syn_4,allocated,257,none
